The Shawshank Redemption
The Godfather
The Dark Knight
Pulp Fiction
The Lord of the Rings: The Return of the King
Schindler's List
Fight Club
Inception
Forrest Gump
The Matrix
The Silence of the Lambs
Saving Private Ryan
The Green Mile
Interstellar
Gladiator
The Prestige
The Departed
The Lion King
Django Unchained
The Truman Show
